2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17727,"state":"CANDIDATE","term":71,"voteFor":"192.168.0.103:8848"}, term: 71

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19924,"state":"CANDIDATE","term":72,"voteFor":"192.168.0.103:8848"}, term: 72

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15353,"state":"CANDIDATE","term":73,"voteFor":"192.168.0.103:8848"}, term: 73

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15064,"state":"CANDIDATE","term":74,"voteFor":"192.168.0.103:8848"}, term: 74

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17843,"state":"CANDIDATE","term":75,"voteFor":"192.168.0.103:8848"}, term: 75

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16012,"state":"CANDIDATE","term":76,"voteFor":"192.168.0.103:8848"}, term: 76

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19180,"state":"CANDIDATE","term":77,"voteFor":"192.168.0.103:8848"}, term: 77

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18122,"state":"CANDIDATE","term":78,"voteFor":"192.168.0.103:8848"}, term: 78

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15256,"state":"CANDIDATE","term":79,"voteFor":"192.168.0.103:8848"}, term: 79

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18655,"state":"CANDIDATE","term":80,"voteFor":"192.168.0.103:8848"}, term: 80

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17146,"state":"CANDIDATE","term":81,"voteFor":"192.168.0.103:8848"}, term: 81

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15435,"state":"CANDIDATE","term":82,"voteFor":"192.168.0.103:8848"}, term: 82

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15231,"state":"CANDIDATE","term":83,"voteFor":"192.168.0.103:8848"}, term: 83

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19615,"state":"CANDIDATE","term":84,"voteFor":"192.168.0.103:8848"}, term: 84

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19182,"state":"CANDIDATE","term":85,"voteFor":"192.168.0.103:8848"}, term: 85

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17725,"state":"CANDIDATE","term":86,"voteFor":"192.168.0.103:8848"}, term: 86

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":15245,"state":"CANDIDATE","term":87,"voteFor":"192.168.0.103:8848"}, term: 87

